Price,Outbound Time,Outbound hours,Return Time,Return hours,Stops
150,12:00 – 12:55,2h 55m,21:25 – 10:50+1,11h 25m,direct
178,19:30 – 22:10,4h 40m,09:30 – 23:55,12h 25m,1 stop
285,14:45 – 17:20,4h 35m,18:10 – 00:40+1,4h 30m,1 stop
241,06:00 – 08:40,4h 40m,15:30 – 23:55,6h 25m,1 stop
225,18:20 – 22:40,6h 20m,15:30 – 23:55,6h 25m,1 stop
248,11:00 – 17:20,8h 20m,18:10 – 00:40+1,4h 30m,1 stop
224,06:20 – 09:25,5h 05m,06:30 – 18:35,10h 05m,1 stop
243,06:00 – 08:40,4h 40m,15:30 – 23:55,6h 25m,1 stop
208,13:40 – 21:35,9h 55m,06:50 – 13:20,4h 30m,2 stops
208,13:40 – 21:35,9h 55m,06:50 – 13:20,4h 30m,2 stops
264,15:55 – 18:40,4h 45m,06:30 – 12:55,4h 25m,1 stop
245,06:00 – 09:40,5h 40m,16:30 – 23:55,5h 25m,1 stop
158,18:20 – 22:55,6h 35m,10:20 – 21:55,9h 35m,1 stop
285,06:20 – 09:25,5h 05m,18:10 – 00:40+1,4h 30m,1 stop
256,15:50 – 19:30,5h 40m,17:00 – 23:35,4h 35m,1 stop
264,13:40 – 17:00,5h 20m,17:45 – 23:55,4h 10m,1 stop
247,13:40 – 16:25,4h 45m,15:30 – 23:55,6h 25m,1 stop
191,21:40 – 08:15+1,12h 35m,18:40 – 23:20,2h 40m,1 stop
192,19:15 – 09:25+1,16h 10m,18:40 – 23:20,2h 40m,1 stop
229,17:15 – 18:10,2h 55m,10:15 – 00:40+1,12h 25m,direct
234,18:20 – 22:55,6h 35m,18:40 – 23:20,2h 40m,1 stop
191,17:15 – 18:10,2h 55m,06:30 – 00:40+1,16h 10m,direct
197,11:00 – 17:20,8h 20m,13:55 – 23:40,7h 45m,1 stop
263,13:40 – 17:00,5h 20m,17:30 – 23:55,4h 25m,1 stop
247,13:40 – 16:40,5h 00m,15:30 – 23:55,6h 25m,1 stop
221,18:20 – 22:40,6h 20m,13:55 – 23:40,7h 45m,1 stop
262,15:55 – 18:40,4h 45m,16:30 – 23:55,5h 25m,1 stop
239,10:10 – 15:10,7h 00m,13:35 – 21:15,5h 40m,1 stop
254,13:30 – 17:05,5h 35m,13:35 – 21:15,5h 40m,1 stop
298,17:15 – 18:10,2h 55m,17:45 – 23:55,4h 10m,direct
223,10:10 – 17:05,8h 55m,10:20 – 17:40,5h 20m,1 stop
197,15:15 – 21:35,8h 20m,13:30 – 23:55,8h 25m,1 stop
226,07:00 – 12:55,7h 55m,17:20 – 23:59,4h 39m,1 stop
143,23:55 – 00:45+1,2h 50m,21:25 – 10:50+1,11h 25m,direct
196,05:35 – 16:35,13h 00m,18:40 – 23:20,2h 40m,1 stop
245,13:40 – 18:40,7h 00m,16:30 – 23:55,5h 25m,1 stop
238,06:00 – 08:40,4h 40m,13:30 – 23:55,8h 25m,1 stop
256,11:10 – 16:00,6h 50m,17:00 – 23:35,4h 35m,1 stop
222,18:20 – 22:40,6h 20m,13:30 – 23:55,8h 25m,1 stop
240,06:00 – 08:40,4h 40m,13:30 – 23:55,8h 25m,1 stop
218,19:30 – 22:10,4h 40m,11:15 – 23:55,10h 40m,1 stop
248,07:00 – 12:55,7h 55m,17:00 – 23:35,4h 35m,1 stop
303,13:40 – 16:25,4h 45m,18:40 – 23:20,2h 40m,1 stop
243,13:40 – 16:25,4h 45m,13:30 – 23:55,8h 25m,1 stop
188,13:40 – 21:35,9h 55m,10:20 – 17:40,5h 20m,1 stop
280,13:40 – 17:00,5h 20m,06:30 – 12:55,4h 25m,1 stop
153,21:40 – 08:15+1,12h 35m,06:40 – 14:25,5h 45m,1 stop
188,21:40 – 08:15+1,12h 35m,17:20 – 23:59,4h 39m,1 stop
205,06:00 – 08:40,4h 40m,09:30 – 23:55,12h 25m,1 stop
280,06:15 – 07:15,3h 00m,08:25 – 16:20,5h 55m,direct
188,18:20 – 22:40,6h 20m,09:30 – 23:55,12h 25m,1 stop
243,13:40 – 16:40,5h 00m,13:30 – 23:55,8h 25m,1 stop
206,06:00 – 08:40,4h 40m,09:30 – 23:55,12h 25m,1 stop
256,15:50 – 21:40,7h 50m,17:00 – 23:35,4h 35m,1 stop
237,09:00 – 17:20,10h 20m,10:15 – 18:35,6h 20m,1 stop
242,15:50 – 21:40,7h 50m,17:20 – 23:59,4h 39m,1 stop
188,05:35 – 16:35,13h 00m,17:20 – 23:59,4h 39m,1 stop
188,05:35 – 08:15,4h 40m,17:20 – 08:25+1,13h 05m,1 stop
204,06:00 – 17:05,13h 05m,06:50 – 13:20,4h 30m,2 stops
223,10:10 – 15:10,7h 00m,10:20 – 21:15,8h 55m,1 stop
200,08:05 – 18:35,12h 30m,06:30 – 14:05,5h 35m,1 stop
210,13:40 – 16:25,4h 45m,09:30 – 23:55,12h 25m,1 stop
239,13:30 – 20:40,9h 10m,10:20 – 17:40,5h 20m,1 stop
239,13:30 – 17:05,5h 35m,10:20 – 21:15,8h 55m,1 stop
278,13:40 – 17:00,5h 20m,16:30 – 23:55,5h 25m,1 stop
239,10:10 – 17:05,8h 55m,13:35 – 21:15,5h 40m,1 stop
210,13:40 – 16:40,5h 00m,09:30 – 23:55,12h 25m,1 stop
253,14:45 – 22:00,9h 15m,10:15 – 18:35,6h 20m,1 stop
256,11:10 – 17:40,8h 30m,17:00 – 23:35,4h 35m,1 stop
268,15:55 – 18:40,4h 45m,06:00 – 15:10,7h 10m,1 stop
240,19:30 – 22:10,4h 40m,10:50 – 22:45,9h 55m,1 stop
209,06:00 – 17:05,13h 05m,06:50 – 13:20,4h 30m,2 stops
209,06:00 – 17:05,13h 05m,06:50 – 13:20,4h 30m,2 stops
242,11:10 – 17:40,8h 30m,17:20 – 23:59,4h 39m,1 stop
203,19:30 – 07:40+1,14h 10m,17:45 – 23:55,4h 10m,1 stop
196,19:30 – 22:10,4h 40m,08:55 – 01:15+1,14h 20m,1 stop
202,19:30 – 07:40+1,14h 10m,17:30 – 23:55,4h 25m,1 stop
218,21:40 – 00:15+1,4h 35m,09:50 – 20:55,9h 05m,1 stop
241,08:05 – 18:35,12h 30m,18:40 – 23:20,2h 40m,1 stop
294,19:30 – 22:10,4h 40m,18:00 – 01:15+1,5h 15m,1 stop
210,06:00 – 09:40,5h 40m,09:30 – 23:55,12h 25m,1 stop
203,15:15 – 21:35,8h 20m,11:15 – 23:55,10h 40m,1 stop
234,11:10 – 19:30,10h 20m,06:40 – 14:25,5h 45m,1 stop
230,06:00 – 16:25,12h 25m,17:45 – 23:55,4h 10m,1 stop
243,13:40 – 18:40,7h 00m,13:30 – 23:55,8h 25m,1 stop
244,06:00 – 08:40,4h 40m,11:15 – 23:55,10h 40m,1 stop
228,18:20 – 22:40,6h 20m,11:15 – 23:55,10h 40m,1 stop
229,06:00 – 16:25,12h 25m,17:30 – 23:55,4h 25m,1 stop
245,06:00 – 08:40,4h 40m,11:15 – 23:55,10h 40m,1 stop
248,19:30 – 22:10,4h 40m,11:30 – 23:55,10h 25m,1 stop
251,15:55 – 21:40,7h 45m,06:00 – 15:10,7h 10m,1 stop
254,13:30 – 20:40,9h 10m,13:35 – 21:15,5h 40m,1 stop
223,10:10 – 17:05,8h 55m,10:20 – 21:15,8h 55m,1 stop
223,10:10 – 20:40,12h 30m,10:20 – 17:40,5h 20m,1 stop
254,06:00 – 10:25,6h 25m,13:30 – 23:55,8h 25m,1 stop
249,13:40 – 16:25,4h 45m,11:15 – 23:55,10h 40m,1 stop
226,07:00 – 17:00,12h 00m,06:40 – 14:25,5h 45m,1 stop
249,13:40 – 16:40,5h 00m,11:15 – 23:55,10h 40m,1 stop
283,18:20 – 22:40,6h 20m,17:20 – 23:59,4h 39m,1 stop
241,06:30 – 08:55,4h 25m,20:30 – 10:35+1,12h 05m,1 stop
234,06:30 – 16:00,11h 30m,06:40 – 14:25,5h 45m,1 stop
187,05:35 – 08:15,4h 40m,18:10 – 09:40+1,13h 30m,1 stop
249,08:05 – 19:40,13h 35m,18:40 – 23:20,2h 40m,1 stop
233,17:45 – 21:20,5h 35m,20:30 – 10:35+1,12h 05m,1 stop
238,02:55 – 15:30,14h 35m,18:40 – 23:20,2h 40m,1 stop
222,06:00 – 10:25,6h 25m,09:30 – 23:55,12h 25m,1 stop
226,19:30 – 07:40+1,14h 10m,06:30 – 12:55,4h 25m,1 stop
249,06:00 – 09:40,5h 40m,11:15 – 23:55,10h 40m,1 stop
278,09:00 – 13:40,6h 40m,08:25 – 16:20,5h 55m,1 stop
229,13:40 – 17:40,6h 00m,09:30 – 23:55,12h 25m,1 stop
231,13:40 – 16:40,5h 00m,08:30 – 23:55,13h 25m,1 stop
234,11:10 – 21:40,12h 30m,06:40 – 14:25,5h 45m,1 stop
320,06:00 – 08:40,4h 40m,18:00 – 01:15+1,5h 15m,1 stop
257,06:30 – 08:55,4h 25m,09:55 – 23:35,11h 40m,1 stop
313,19:30 – 22:10,4h 40m,17:10 – 01:15+1,6h 05m,1 stop
322,06:00 – 08:40,4h 40m,18:00 – 01:15+1,5h 15m,1 stop
304,19:30 – 22:10,4h 40m,13:45 – 22:45,7h 00m,1 stop
241,15:50 – 19:30,5h 40m,20:30 – 10:35+1,12h 05m,1 stop
239,13:30 – 20:40,9h 10m,10:20 – 21:15,8h 55m,1 stop
239,10:10 – 20:40,12h 30m,13:35 – 21:15,5h 40m,1 stop
